Hourly Obs
Month/Year: 02/2013
Station Location: BALTIMORE DOWNTOWN (93784)
Lat: 39.281
Lon: -76.608
Elev: 20 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
93784,20130201,0054,11,M, ,M, , , ,33, ,0.6, ,26, ,-3.0, ,12, ,-11.1, , 42, ,M, ,M, , , ,29.86, , , , , ,29.88, ,AA, , , ,29.88, 
93784,20130201,0154,11,M, ,M, , , ,33, ,0.6, ,27, ,-2.7, ,14, ,-10.0, , 46, ,M, ,M, , , ,29.86, , , , , ,29.88, ,AA, , , ,29.88, 
93784,20130201,0254,11,M, ,M, , , ,34, ,1.1, ,28, ,-2.3, ,15, ,-9.4, , 46, ,M, ,M, , , ,29.88, , , , , ,29.90, ,AA, , , ,29.90, 
93784,20130201,0354,11,M, ,M, , , ,34, ,1.1, ,28, ,-2.4, ,14, ,-10.0, , 44, ,M, ,M, , , ,29.85, , , , , ,29.87, ,AA, , , ,29.87, 
93784,20130201,0454,11,M, ,M, , , ,35, ,1.7, ,28, ,-1.9, ,15, ,-9.4, , 44, ,M, ,M, , , ,29.84, , , , , ,29.85, ,AA, , , ,29.86, 
93784,20130201,0554,11,M, ,M, , , ,35, ,1.7, ,30, ,-1.2, ,20, ,-6.7, , 54, ,M, ,M, , , ,29.81, , , , , ,29.83, ,AA, , , ,29.83, 
93784,20130201,0654,11,M, ,M, , , ,33, ,0.6, ,29, ,-1.4, ,23, ,-5.0, , 67, ,M, ,M, , , ,29.80, , , , , ,29.82, ,AA, , , ,29.82, 
93784,20130201,0754,11,M, ,M, , , ,31, ,-0.6, ,28, ,-2.4, ,21, ,-6.1, , 66, ,M, ,M, , , ,29.83, , , , , ,29.85, ,AA, ,0.01, ,29.85, 
93784,20130201,0854,11,M, ,M, , , ,32, ,0.0, ,26, ,-3.1, ,14, ,-10.0, , 47, ,M, ,M, , , ,29.94, , , , , ,29.96, ,AA, , , ,29.96, 
93784,20130201,0954,11,M, ,M, , , ,31, ,-0.6, ,24, ,-4.2, ,8, ,-13.3, , 38, ,M, ,M, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
93784,20130201,1054,11,M, ,M, , , ,31, ,-0.6, ,24, ,-4.2, ,8, ,-13.3, , 38, ,M, ,M, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05, 
93784,20130201,1154,11,M, ,M, , , ,31, ,-0.6, ,24, ,-4.5, ,5, ,-15.0, , 33, ,M, ,M, , , ,30.07, , , , , ,30.09, ,AA, , , ,30.09, 
93784,20130201,1254,11,M, ,M, , , ,32, ,0.0, ,24, ,-4.2, ,4, ,-15.6, , 30, ,M, ,M, , , ,30.07, , , , , ,30.09, ,AA, , , ,30.09, 
93784,20130201,1354,11,M, ,M, , , ,31, ,-0.6, ,24, ,-4.7, ,3, ,-16.1, , 30, ,M, ,M, , , ,30.10, , , , , ,30.12, ,AA, , , ,30.12, 
