Hourly Obs,,,,,,,,,,,,,,,,,,,
Month/Year: 04/2013,,,,,,,,,,,,,,,,,,,
Station Location: BALTIMORE DOWNTOWN (93784),,,,,,,,,,,,,,,,,,,
Lat: 39.281,,,,,,,,,,,,,,,,,,,
Lon: -76.608,,,,,,,,,,,,,,,,,,,
Elev: 20 ft. above sea level,,,,,,,,,,,,,,,,,,,
WBAN,Date,Time,StationType,SkyCondition,Visibility,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
93784,20130401,54,11,M,M,50,10,47,8.3,44,6.7,80,M,M,29.74,29.76,AA, ,29.76
93784,20130401,154,11,M,M,49,9.4,47,8,44,6.7,83,M,M,29.74,29.75,AA, ,29.76
93784,20130401,254,11,M,M,52,11.1,48,8.6,43,6.1,72,M,M,29.74,29.76,AA, ,29.76
93784,20130401,354,11,M,M,54,12.2,48,8.9,42,5.6,64,M,M,29.76,29.78,AA, ,29.78
93784,20130401,454,11,M,M,49,9.4,45,7.3,41,5,74,M,M,29.72,29.74,AA, ,29.74
93784,20130401,554,11,M,M,49,9.4,46,7.5,42,5.6,77,M,M,29.73,29.75,AA, ,29.75
93784,20130401,654,11,M,M,53,11.7,47,8.2,40,4.4,62,M,M,29.77,29.78,AA, ,29.79
93784,20130401,754,11,M,M,56,13.3,50,9.7,43,6.1,62,M,M,29.81,29.83,AA, ,29.83
93784,20130401,854,11,M,M,61,16.1,51,10.7,42,5.6,50,M,M,29.79,29.81,AA, ,29.81
93784,20130401,954,11,M,M,64,17.8,51,10.6,38,3.3,38,M,M,29.78,29.79,AA, ,29.8
93784,20130401,1054,11,M,M,66,18.9,52,11.1,38,3.3,36,M,M,29.73,29.75,AA, ,29.75
93784,20130401,1154,11,M,M,68,20,53,11.6,38,3.3,33,M,M,29.74,29.75,AA,0.01,29.76
93784,20130401,1254,11,M,M,66,18.9,51,10.3,34,1.1,31,M,M,29.68,29.7,AA, ,29.7
93784,20130401,1354,11,M,M,62,16.7,50,9.9,37,2.8,40,M,M,29.69,29.7,AA, ,29.71
93784,20130401,1454,11,M,M,58,14.4,47,8,33,0.6,39,M,M,29.69,29.71,AA, ,29.71
93784,20130401,1554,11,M,M,58,14.4,46,7.5,30,-1.1,35,M,M,29.75,29.77,AA, ,29.77
93784,20130401,1654,11,M,M,56,13.3,43,6.2,26,-3.3,32,M,M,29.75,29.77,AA, ,29.77
93784,20130401,1754,11,M,M,53,11.7,41,5,24,-4.4,32,M,M,29.79,29.8,AA, ,29.81
93784,20130401,1854,11,M,M,51,10.6,40,4.1,22,-5.6,32,M,M,29.82,29.84,AA, ,29.84
93784,20130401,1954,11,M,M,50,10,39,3.7,21,-6.1,32,M,M,29.88,29.9,AA, ,29.9
93784,20130401,2054,11,M,M,M,M,M,M,M,M,M,M,M,M,M,AA, ,M
93784,20130401,2154,11,M,M,48,8.9,36,2.2,15,-9.4,27,M,M,29.93,29.94,AA, ,29.95
93784,20130401,2254,11,M,M,46,7.8,35,1.4,13,-10.6,26,M,M,29.94,29.96,AA, ,29.96
93784,20130401,2354,11,M,M,45,7.2,34,1.1,13,-10.6,27,M,M,29.98,30,AA, ,30
93784,20130402,54,11,M,M,43,6.1,33,0.4,13,-10.6,29,M,M,29.99,30.01,AA, ,30.01
93784,20130402,154,11,M,M,42,5.6,32,0.2,14,-10,32,M,M,29.98,29.99,AA, ,30
93784,20130402,254,11,M,M,41,5,32,0,14,-10,33,M,M,29.97,29.99,AA, ,29.99
93784,20130402,354,11,M,M,41,5,32,0,14,-10,33,M,M,29.99,30.01,AA, ,30.01
93784,20130402,454,11,M,M,41,5,32,-0.1,13,-10.6,32,M,M,30,30.02,AA, ,30.02
93784,20130402,554,11,M,M,40,4.4,31,-0.3,14,-10,35,M,M,30.02,30.04,AA, ,30.04
93784,20130402,654,11,M,M,41,5,32,0,15,-9.4,35,M,M,30.09,30.1,AA, ,30.11
93784,20130402,754,11,M,M,43,6.1,33,0.7,15,-9.4,32,M,M,30.14,30.16,AA, ,30.16
93784,20130402,854,11,M,M,45,7.2,34,1.2,14,-10,29,M,M,30.14,30.16,AA, ,30.16
93784,20130402,954,11,M,M,46,7.8,35,1.4,13,-10.6,26,M,M,30.12,30.14,AA, ,30.14
