Population,NAME,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,PopOver18,Ovr18White,Ovr18Blk_A,Ovr18AmInd,Ovr18Asian,Ovr18Haw_P,Ovr18Other,Ovr18TwoOr,Ovr18HispL,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
5214,Census Tract 1510,94,5029,19,14,0,8,50,41,4040,90,3886,16,14,0,6,28,25,2402,2812,344,391,195,244,541,647,589,1497,766,1194,426,126,133,51,635,262,2339,1822,892,930,517,152,27,338
1137,Census Tract 807,22,1086,0,5,0,9,15,22,839,18,807,0,5,0,5,4,13,560,577,77,96,50,75,124,127,119,339,130,250,52,23,45,17,153,72,726,382,176,206,344,22,19,303
1704,Census Tract 805,12,1661,6,6,0,2,17,11,1249,11,1220,5,5,0,1,7,7,806,898,119,170,82,84,184,188,207,459,211,388,105,37,53,19,230,80,735,543,282,261,192,52,19,121
1543,Census Tract 1505,14,1486,3,2,0,10,28,6,1239,14,1196,3,2,0,5,19,5,669,874,99,104,40,61,147,188,168,433,303,371,110,26,50,10,211,85,757,679,281,398,78,21,6,51
2586,Census Tract 1903,781,1558,25,62,1,95,64,157,1896,627,1099,15,47,1,66,41,109,1305,1281,223,260,96,111,274,374,335,680,233,483,161,68,95,40,227,134,1376,863,269,594,513,68,52,393
4790,Census Tract 1201,3429,359,3,860,4,33,102,167,4349,3127,320,3,799,3,28,69,147,2300,2490,182,149,47,63,914,909,503,1124,899,943,823,221,29,8,91,31,3000,2736,1263,1473,264,122,24,118
2452,Census Tract 909,36,2362,2,7,1,6,38,27,1789,25,1730,2,2,1,5,24,19,1062,1390,191,234,108,130,283,268,255,681,302,547,101,33,69,21,377,189,1433,977,301,676,456,81,15,360
5192,Census Tract 1307,4337,451,16,219,2,53,114,167,4679,3925,417,15,197,2,44,79,129,2301,2891,205,195,53,60,337,1050,670,1070,1552,940,699,200,75,25,166,73,2895,2620,1266,1354,275,151,29,95
5237,Census Tract 1003,809,4365,5,8,2,41,7,71,5128,804,4263,5,7,2,41,6,70,5079,158,9,25,7,68,1208,1651,1099,1126,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,Census Tract 2803.01,357,3639,11,19,0,30,45,77,3012,317,2622,7,12,0,23,31,52,1733,2368,341,435,149,164,480,711,493,973,355,957,304,128,99,56,554,357,2035,1877,244,1633,158,114,4,40
2748,Census Tract 1308.03,2074,337,7,216,0,48,66,113,2314,1783,260,6,182,0,35,48,84,1323,1425,141,158,77,58,251,671,425,669,298,634,419,149,50,28,165,84,1406,1327,787,540,79,39,17,23
3586,Census Tract 1306,3207,126,10,128,0,25,90,110,3117,2815,94,10,120,0,24,54,87,1776,1810,201,140,67,61,354,1090,547,815,311,734,497,143,95,39,142,56,1990,1735,1058,677,255,95,31,129
2126,Census Tract 1001,34,2050,7,3,0,11,21,21,1645,30,1580,5,1,0,10,19,17,965,1161,122,167,90,102,225,216,230,718,256,502,124,37,58,21,320,112,1113,869,376,493,244,27,28,189
3223,Census Tract 1101,1965,754,9,349,0,44,102,155,3070,1922,675,9,339,0,40,85,149,1624,1599,72,51,15,15,592,1332,447,547,152,288,209,46,25,8,54,24,2488,2127,322,1805,361,201,26,134
4420,Census Tract 2705.01,2842,1380,14,44,1,72,67,178,3512,2402,981,9,38,1,50,31,125,2140,2280,266,362,132,148,344,617,693,1271,587,1122,711,272,107,35,304,138,1900,1781,1480,301,119,32,32,55
1764,Census Tract 2703.02,759,914,4,27,0,17,43,40,1388,665,658,4,24,0,13,24,33,866,898,116,130,63,67,173,237,253,565,160,404,237,96,40,19,127,61,786,707,500,207,79,31,8,40
5412,Census Tract 2704.01,1560,3608,27,50,1,48,118,120,4071,1393,2532,17,39,1,32,57,86,2445,2967,362,500,226,253,479,782,777,1468,565,1301,670,281,122,64,509,280,2255,2057,1475,582,198,78,40,80
2476,Census Tract 1207,1449,646,8,219,0,63,91,113,2056,1284,461,6,197,0,46,62,91,1287,1189,124,155,71,70,395,616,327,534,184,467,233,77,71,27,163,71,1262,1081,524,557,181,72,32,77
6103,Census Tract 2712,5080,643,14,208,0,29,129,155,4636,3877,523,13,154,0,16,53,103,2956,3147,451,635,187,194,423,475,956,1944,838,1600,1384,681,57,28,159,87,2469,2328,1950,378,141,44,38,59
5072,Census Tract 1102,3017,1347,19,422,3,59,205,240,4975,2980,1311,16,417,3,59,189,233,2524,2548,54,19,5,19,1048,1752,531,829,815,446,312,32,47,12,87,21,4143,3574,328,3246,569,332,10,227
4132,Census Tract 2710.02,125,3898,22,8,0,13,66,48,3101,106,2916,18,8,0,11,42,34,1825,2307,286,402,153,190,405,488,512,1096,600,988,403,131,97,35,488,212,1803,1526,933,593,277,95,28,154
1586,Census Tract 904,161,1388,7,2,0,4,24,33,1177,148,1005,7,2,0,3,12,27,686,900,141,152,53,63,175,273,193,424,112,349,84,31,52,25,213,128,803,672,182,490,131,36,9,86
2267,Census Tract 2804.04,113,2107,9,7,0,5,26,19,1671,111,1524,6,6,0,5,19,14,961,1306,174,238,91,93,210,311,217,616,317,539,191,63,42,23,306,174,880,820,399,421,60,25,9,26
2804,Census Tract 2708.04,1324,1166,5,102,8,124,75,209,2297,1159,908,5,86,7,89,43,155,1289,1515,234,174,57,42,394,532,385,693,293,586,315,139,67,31,204,115,1550,1391,571,820,159,104,14,41
2830,Census Tract 2602.03,202,2517,8,47,0,1,55,29,2003,178,1750,7,34,0,1,33,17,1269,1561,248,313,119,147,344,373,330,698,258,734,294,110,50,18,390,223,1078,989,584,405,89,50,10,29
4203,Census Tract 903,838,3147,9,89,1,28,91,86,3368,762,2441,9,75,1,17,63,57,1866,2337,258,290,144,143,343,643,553,1126,703,925,433,141,73,39,419,178,2111,1895,1098,797,216,114,29,73
4763,Census Tract 2601.01,1619,2948,16,61,0,34,85,135,3622,1391,2114,11,48,0,20,38,88,2200,2563,341,432,159,209,419,710,697,1315,481,1139,604,251,112,53,423,221,2070,1895,1128,767,175,87,29,59
4911,Census Tract 2601.02,703,4023,12,29,0,28,116,103,3735,633,2981,7,27,0,20,67,71,2220,2691,311,411,228,226,526,551,627,1537,494,1271,676,237,102,40,493,215,1956,1790,1495,295,166,28,65,73
3073,Census Tract 908,40,2961,13,21,0,0,38,13,2302,32,2214,11,17,0,0,28,11,1423,1650,232,295,123,121,345,368,370,834,385,716,196,58,84,26,436,167,1586,1033,516,517,553,144,45,364
4051,Census Tract 2708.01,507,3391,8,49,1,30,65,86,3048,463,2470,4,44,1,22,44,63,1819,2232,263,383,163,194,398,575,557,1172,346,1060,486,216,107,44,467,227,1743,1627,1207,420,116,43,46,27
1313,Census Tract 1204,162,1074,6,12,0,28,31,60,1037,161,814,4,9,0,27,22,53,647,666,97,102,33,44,177,260,170,353,77,257,74,18,35,8,148,75,955,533,147,386,422,58,28,336
3243,Census Tract 902,505,2602,8,30,0,15,83,52,2561,451,2022,7,26,0,7,48,39,1573,1670,223,245,100,114,268,405,377,992,519,780,397,126,73,28,310,122,1279,1188,983,205,91,26,25,40
2957,Census Tract 701,153,2654,16,21,0,63,50,138,1967,127,1729,13,21,0,45,32,104,1344,1613,312,336,154,188,392,401,334,649,191,683,180,59,66,34,437,239,1098,863,338,525,235,123,14,98
2298,Census Tract 2710.01,67,2167,7,7,0,13,37,33,1700,58,1602,6,4,0,10,20,20,1039,1259,192,194,104,108,273,318,262,604,243,544,178,56,63,29,303,162,1051,875,399,476,176,90,14,72
2775,Census Tract 1302,313,2370,15,12,0,9,56,60,1985,292,1626,12,10,0,6,39,44,1274,1501,256,318,114,102,306,487,338,696,158,617,174,58,72,27,371,242,1573,1159,295,864,414,172,35,207
4974,Census Tract 1401,2807,1581,10,361,2,53,160,163,4593,2637,1435,9,341,2,46,123,139,2215,2759,139,152,49,41,1496,708,479,1070,840,613,439,125,48,22,126,54,2883,2589,693,1896,294,177,8,109
4605,Census Tract 2706,1782,2590,2,61,1,50,119,109,3575,1561,1871,2,56,1,33,51,79,2193,2412,286,394,167,183,390,614,683,1409,479,1157,696,240,102,46,359,177,1986,1832,1475,357,154,41,46,67
2583,Census Tract 2707.01,57,2436,11,7,0,18,54,59,1854,48,1752,9,5,0,13,27,38,1140,1443,276,271,85,97,404,479,313,551,107,628,138,60,80,49,410,273,1239,1149,5,1144,90,77,0,13
2613,Census Tract 1301,171,2356,15,8,0,4,59,38,2154,160,1925,12,8,0,4,45,29,1247,1366,148,175,68,68,230,374,325,928,297,500,142,42,76,29,282,138,1784,1405,227,1178,379,168,46,165
6268,Census Tract 2708.03,517,5513,4,122,0,22,90,111,5020,488,4337,4,114,0,19,58,83,2602,3666,356,479,194,219,664,938,721,1676,1021,1418,617,186,127,53,674,333,3051,2902,1146,1756,149,70,23,56
1426,Census Tract 2007.02,31,1352,2,4,0,7,30,14,1079,25,1026,2,4,0,7,15,13,609,817,86,136,60,65,150,164,135,411,219,357,110,25,36,8,211,72,588,502,343,159,86,17,13,56
4828,Census Tract 2802,167,4533,9,21,0,23,75,77,3772,146,3528,9,17,0,19,53,64,2227,2601,287,391,172,206,430,536,596,1393,817,1138,528,155,121,34,489,195,2038,1826,1150,676,212,65,25,122
2282,Census Tract 2803.02,91,2139,6,5,0,9,32,20,1740,83,1621,3,4,0,7,22,10,967,1315,176,209,79,78,256,318,281,596,289,598,197,73,49,21,352,193,1101,980,354,626,121,49,16,56
1955,Census Tract 1308.04,1687,129,7,66,1,10,55,59,1657,1459,85,7,54,1,8,43,46,965,990,105,110,41,42,171,542,288,466,190,419,257,74,52,22,110,51,999,898,546,352,101,45,19,37
2046,Census Tract 2711.01,1171,704,2,108,0,16,45,61,1727,1021,568,1,99,0,14,24,49,883,1163,93,141,45,40,384,210,272,549,312,341,220,90,21,10,100,50,997,927,474,453,70,36,10,24
4525,Census Tract 2711.02,3809,389,7,141,1,54,124,198,4138,3506,342,7,133,1,49,100,182,1814,2711,84,170,66,67,3202,106,203,441,186,370,316,168,18,6,36,21,555,488,451,37,67,5,7,55
4223,Census Tract 1508,65,4067,8,3,0,16,64,70,3288,61,3162,6,3,0,12,44,53,1958,2265,240,346,151,198,449,476,508,1286,569,960,350,99,117,52,493,202,2458,1686,684,1002,772,161,34,577
3148,Census Tract 2703.01,1055,1939,9,36,1,31,77,73,2472,909,1457,8,29,1,26,42,55,1451,1697,180,257,119,120,242,401,430,908,491,737,440,146,61,25,236,104,1301,1183,899,284,118,43,21,54
1602,Census Tract 1701,326,1193,6,30,0,4,43,42,1278,306,909,5,26,0,4,28,32,701,901,115,119,36,54,207,328,205,409,129,303,93,25,20,6,190,130,965,847,104,743,118,77,10,31
1964,Census Tract 905,237,1623,7,28,0,24,45,70,1497,213,1207,7,25,0,12,33,43,861,1103,119,173,90,85,203,308,268,553,165,428,129,43,51,16,248,111,835,712,362,350,123,34,20,69
3145,Census Tract 1702,193,2870,10,21,1,3,47,32,2294,185,2046,7,20,1,3,32,22,1357,1788,259,349,117,126,387,421,309,836,341,571,93,30,56,24,422,268,1780,1576,57,1519,204,105,1,98
3402,Census Tract 906,66,3248,11,17,0,8,52,57,2522,64,2393,9,16,0,6,34,41,1587,1815,211,329,155,185,384,411,387,887,453,793,233,76,90,23,470,195,1372,1076,622,454,296,72,30,194
3552,Census Tract 1203,1210,2089,14,110,5,33,91,115,3011,1121,1675,13,105,5,31,61,94,1797,1755,203,180,81,77,424,772,541,977,297,622,307,90,62,17,253,116,1986,1601,564,1037,385,179,37,169
1751,Census Tract 1205,463,1191,5,44,0,9,39,27,1485,457,943,4,38,0,9,34,26,942,809,98,96,38,34,259,415,233,470,108,282,95,30,40,10,147,74,1171,788,172,616,383,159,21,203
