Hourly Obs,,,,,,,,,,,,,,,,,,,
Month/Year: 07/2013,,,,,,,,,,,,,,,,,,,
Station Location: BALTIMORE DOWNTOWN (93784),,,,,,,,,,,,,,,,,,,
Lat: 39.281,,,,,,,,,,,,,,,,,,,
Lon: -76.608,,,,,,,,,,,,,,,,,,,
Elev: 20 ft. above sea level,,,,,,,,,,,,,,,,,,,
WBAN,Date,Time,StationType,SkyCondition,Visibility,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
93784,20130701,54,11,M,M,81,27.2,76,24.5,74,23.3,79,M,M,29.84,29.86,AA, ,29.86
93784,20130701,154,11,M,M,80,26.7,76,24.3,74,23.3,82,M,M,29.83,29.85,AA, ,29.85
93784,20130701,254,11,M,M,79,26.1,75,23.8,73,22.8,82,M,M,29.84,29.86,AA, ,29.86
93784,20130701,354,11,M,M,79,26.1,73,22.7,70,21.1,74,M,M,29.85,29.86,AA, ,29.87
93784,20130701,454,11,M,M,78,25.6,72,22.2,69,20.6,74,M,M,29.87,29.88,AA, ,29.89
93784,20130701,554,11,M,M,78,25.6,72,22.2,69,20.6,74,M,M,29.89,29.91,AA, ,29.91
93784,20130701,654,11,M,M,79,26.1,73,22.7,70,21.1,74,M,M,29.91,29.93,AA, ,29.93
93784,20130701,754,11,M,M,82,27.8,75,23.9,72,22.2,72,M,M,29.94,29.96,AA, ,29.96
93784,20130701,854,11,M,M,82,27.8,74,23.6,71,21.7,69,M,M,29.91,29.93,AA, ,29.93
93784,20130701,954,11,M,M,83,28.3,75,23.7,71,21.7,67,M,M,29.91,29.93,AA, ,29.93
93784,20130701,1029,11,M,M,82,27.8,75,23.9,72,22.2,72,M,M,29.95,M,SP, ,29.97
93784,20130701,1054,11,M,M,81,27.2,75,23.7,72,22.2,74,M,M,29.93,29.95,AA, ,29.95
93784,20130701,1154,11,M,M,78,25.6,75,24,74,23.3,88,M,M,29.91,29.93,AA,0.13,29.93
93784,20130701,1254,11,M,M,80,26.7,76,24.3,74,23.3,82,M,M,29.92,29.94,AA, ,29.94
93784,20130701,1354,11,M,M,84,28.9,77,24.9,74,23.3,72,M,M,29.94,29.96,AA, ,29.96
93784,20130701,1454,11,M,M,86,30,77,24.9,73,22.8,65,M,M,29.92,29.93,AA, ,29.94
93784,20130701,1554,11,M,M,86,30,76,24.5,72,22.2,63,M,M,29.9,29.92,AA, ,29.92
93784,20130701,1654,11,M,M,84,28.9,76,24.2,72,22.2,67,M,M,29.89,29.91,AA, ,29.91
93784,20130701,1754,11,M,M,84,28.9,76,24.2,72,22.2,67,M,M,29.91,29.93,AA, ,29.93
93784,20130701,1854,11,M,M,83,28.3,76,24.4,73,22.8,72,M,M,29.93,29.95,AA, ,29.95
93784,20130701,1954,11,M,M,82,27.8,75,23.9,72,22.2,72,M,M,29.94,29.96,AA, ,29.96
93784,20130701,2054,11,M,M,81,27.2,75,23.7,72,22.2,74,M,M,29.96,29.97,AA, ,29.98
93784,20130701,2154,11,M,M,80,26.7,75,23.9,73,22.8,79,M,M,29.97,29.98,AA, ,29.99
